x; Cos(x)
0,0000000; 1,0000000
-0,1963495; 0,9807853
-0,3926991; 0,9238795
-0,5890486; 0,8314696
-0,7853982; 0,7071068
-0,9817477; 0,5555702
-1,1780972; 0,3826834
-1,3744468; 0,1950903
-1,5707963; NaN
-1,7671459; -0,1950903
-1,9634954; -0,3826834
-2,1598449; -0,5555702
-2,3561945; -0,7071068
-2,5525440; -0,8314696
-2,7488936; -0,9238795
-2,9452431; -0,9807853
-3,1415927; -1,0000000
-3,3379422; -0,9807853
-3,5342917; -0,9238795
-3,7306413; -0,8314696
-3,9269908; -0,7071068
-4,1233404; -0,5555702
-4,3196899; -0,3826834
-4,5160394; -0,1950903
-4,7123890; 0,0000164
-4,9087385; 0,1950903
-5,1050881; 0,3826834
-5,3014376; 0,5555702
-5,4977871; 0,7071068
-5,6941367; 0,8314696
-5,8904862; 0,9238795
-6,0868358; 0,9807853
-6,2831853; 1,0000000
