x; Function(x)
-10,0000000; -0,0005506
-9,5000000; -0,0004244
-9,0000000; 0,1050830
-8,5000000; 12461,9458536
-8,0000000; 3279392004405434,5000000
-7,5000000; 1347266,8276618
-7,0000000; 0,2921132
-6,5000000; 0,0099550
-6,0000000; -0,0218148
-5,5000000; -0,3164646
-5,0000000; 164237775,3751163
-4,5000000; 5500393050054,2705000
-4,0000000; 1041,6301711
-3,5000000; -0,0361738
-3,0000000; 0,0028143
-2,5000000; 4,2036336
-2,0000000; 29789994,5643282
-1,5000000; 251176462337544750000,0000000
-1,0000000; 11,0550962
-0,5000000; 0,1102290
0,0000000; 0,0000000
0,5000000; -3,3620425
1,0000000; NaN
1,5000000; -7,1431776
2,0000000; -2,5006895
2,5000000; -1,3688331
3,0000000; -0,8511269
3,5000000; -0,5418760
4,0000000; -0,3285667
4,5000000; -0,1680296
5,0000000; -0,0401144
5,5000000; 0,0659161
6,0000000; 0,1563566
6,5000000; 0,2351733
7,0000000; 0,3050096
7,5000000; 0,3677078
8,0000000; 0,4245998
8,5000000; 0,4766779
9,0000000; 0,5247007
9,5000000; 0,5692602
10,0000000; 0,6108278
